symbol,open_time,close_time,interval,open,high,low,close,volume,num_trades
BNBUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,991.19,994.98,988.97,991.77,3546.072,13928
ADAUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,0.5539,0.5543,0.5508,0.5528,1464417.5,3232
BTCUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,106376.82,106376.82,106204.0,106275.99,59.41859,15508
ETHUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,3621.39,3626.02,3614.03,3622.16,1035.715,16447
XRPUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,2.3621,2.3673,2.3562,2.3634,477668.2,7300
TAOUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,471.6,471.8,465.2,467.9,1598.7027,1889
TONUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,2.096,2.097,2.083,2.09,46511.0,1126
USDCUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,1.0,1.0001,1.0,1.0,2366969.0,1941
SHIBUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,9.33e-06,9.36e-06,9.3e-06,9.33e-06,9783877815.0,2502
XLMUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,0.2838,0.2848,0.2829,0.2845,280213.0,1091
LINKUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,15.38,15.44,15.31,15.36,23576.59,1371
TRXUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,0.2896,0.2898,0.2895,0.2897,1374778.6,262
AVAXUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,16.61,16.68,16.54,16.63,22827.64,1428
DOTUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,2.62,2.623,2.604,2.615,55246.53,1359
DOGEUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,0.16827,0.16888,0.16763,0.16852,37157575.0,18818
BCHUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,510.5,511.5,509.1,510.3,86.28,675
ZECUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,391.94,392.31,387.4,389.62,1639.037,3042
SOLUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,168.85,169.2,168.22,168.78,24338.892,16266
LTCUSDT,2025-11-03 15:37:00,2025-11-03 15:37:59.999,1m,88.47,88.71,88.22,88.58,2146.002,1780
BNBUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,993.28,996.55,993.28,994.74,1816.34,12037
ADAUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,0.5526,0.5542,0.5526,0.5534,773391.7,1951
BTCUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,106381.39,106506.35,106381.39,106458.71,24.42685,11602
ETHUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,3626.75,3635.07,3626.28,3631.3,1199.7701,14602
XRPUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,2.3665,2.374,2.3665,2.3734,729043.6,6557
TAOUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,468.0,468.7,466.7,467.3,1256.1862,1403
TONUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,2.097,2.107,2.091,2.093,66985.25,1307
USDCUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,1.0001,1.0001,1.0,1.0,4450534.0,1345
SHIBUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,9.34e-06,9.37e-06,9.34e-06,9.36e-06,3546287735.0,1512
XLMUSDT,2025-11-03 15:39:00,2025-11-03 15:39:59.999,1m,0.285,0.2862,0.285,0.286,379956.0,1127
